fighter_name,Height,Weight,Reach,Stance,DOB
Caio Magalhaes,6.1,185 ,73,Orthodox,Dec 14 1987
Cal Worsham,5.11,230 ,,Orthodox,
Cale Yarbrough,6.1,185 ,,Orthodox,Dec 27 1986
Callan Potter,6.0,155 ,72,Orthodox,Jun 09 1984
Calvin Kattar,5.11,145 ,72,Orthodox,Mar 26 1988
Cameron Dollar,5.11,155 ,,Orthodox,May 12 1987
Cameron Olson,6.1,205 ,75,Orthodox,Nov 22 1989
Canaan Kawaihae,6.0,145 ,,Southpaw,Aug 26 1997
Caol Uno,5.7,155 ,70,Southpaw,May 08 1975
Carina Damm,5.4,135 ,,,
Carl Malenko,5.11,200 ,,Orthodox,
Carl Seumanutafa,6.1,255 ,,Orthodox,
Carl Toomey,,,,,
Carla Esparza,5.1,115 ,63,,Oct 10 1987
Carlo Pedersoli,5.11,170 ,75,Southpaw,Jun 08 1993
Carlo Prater,5.11,155 ,72,Switch,Jun 25 1981
Carlos Barreto,6.4,230 ,,Orthodox,
Carlos Candelario,5.8,125 ,67,Southpaw,Jun 04 1991
Carlos Condit,6.2,170 ,75,Orthodox,Apr 26 1984
Carlos Eduardo Rocha,5.10,170 ,70,Orthodox,Jul 12 1981
Carlos Felipe,6.0,245 ,,,Jan 12 1995
Carlos Huachin,5.4,135 ,67,Southpaw,Jun 04 1996
Carlos Newton,5.9,170 ,,Orthodox,Aug 17 1976
Carlos Zevallos,6.0,205 ,,Orthodox,
Carls John De Tomas,5.5,125 ,71,Southpaw,Aug 28 1996
Carlton Jones,6.1,225 ,,Orthodox,
Carmelo Marrero,6.0,205 ,73,Orthodox,Jan 26 1981
Caros Fodor,5.9,155 ,76,Orthodox,Jan 07 1984
Carter Williams,6.1,265 ,,Orthodox,
Casey Huffman,6.3,185 ,,,
Casey Kenney,5.7,135 ,68,Southpaw,Mar 20 1991
Casey Olson,5.7,145 ,,Orthodox,
Cat Zingano,5.6,145 ,68,Southpaw,Jul 01 1982
Cathal Pendred,6.1,170 ,75,Orthodox,Sep 02 1987
Cesar Arzamendia,5.11,155 ,71,,Jan 31 1991
Cesar Gracie,5.10,181 ,,Orthodox,
Cesar Marscucci,,,,,
Cezar Ferreira,6.1,185 ,78,Southpaw,Feb 15 1985
Chad Cook,6.2,205 ,,,Nov 07 1979
Chad Corvin,6.5,255 ,,,
Chad George,5.6,135 ,68,Southpaw,Apr 30 1982
Chad Griggs,6.1,205 ,73,Orthodox,May 15 1978
Chad Laprise,5.10,170 ,71,Orthodox,Jul 23 1986
Chad Leonhardt,6.0,170 ,,,Feb 19 1980
Chad Mendes,5.6,145 ,66,Orthodox,May 01 1985
Chad Reiner,5.11,170 ,,Orthodox,Jun 29 1981
Chad Robichaux,5.4,135 ,,,Aug 18 1975
Chad Sutton,6.1,185 ,,,Aug 07 1982
Chad Vance,6.0,185 ,,Orthodox,
Chad W.Saunders,5.10,170 ,,Orthodox,
Chael Sonnen,6.1,205 ,74,Southpaw,Apr 03 1977
Chalid Arrab,5.11,205 ,,Orthodox,May 28 1975
Chan Sung Jung,5.7,145 ,72,Orthodox,Mar 17 1987
Chance Farrar,5.9,145 ,,Southpaw,Sep 11 1975
Chance Rencountre,6.2,170 ,75,Southpaw,Dec 31 1986
Chanmi Jeon,5.5,115 ,67,Orthodox,Aug 28 1997
Charlene Gellner,5.2,125 ,,,
Charles Bennett,5.8,155 ,,Orthodox,Nov 23 1979
Charles Byrd,5.10,185 ,73,Orthodox,Oct 11 1983
Charles Jourdain,5.9,155 ,69,Switch,Nov 27 1995
Charles McCarthy,5.10,185 ,71,Orthodox,Aug 06 1980
Charles McTorry,,,,,
Charles Oliveira,5.10,155 ,74,Orthodox,Oct 17 1989
Charles Rosa,5.9,145 ,69,Switch,Aug 24 1986
Charlie Brenneman,5.10,155 ,72,Orthodox,Feb 09 1981
Charlie Kohler,5.9,155 ,,Orthodox,Jul 16 1976
Charlie Ontiveros,6.2,170 ,,,Jul 04 1991
Charlie Valencia,5.3,135 ,64,Orthodox,Oct 31 1974
Charlie Ward,5.11,170 ,73,Orthodox,Dec 17 1980
Charon Spain,5.9,155 ,,,Mar 11 1988
Chas Skelly,5.11,145 ,72,Orthodox,May 11 1985
Chase Beebe,5.7,135 ,67,Orthodox,Mar 29 1985
Chase Gormley,6.3,265 ,,Orthodox,
Chase Hooper,6.1,145 ,,Southpaw,Sep 13 1999
Chase Sherman,6.4,250 ,78,Orthodox,Nov 16 1989
Chase Waldon,6.1,185 ,75,Orthodox,Sep 19 1986
Chatt Lavender,5.8,170 ,,,May 24 1976
Che Mills,6.1,170 ,76,Orthodox,Sep 29 1982
Cheick Kongo,6.4,240 ,82,Orthodox,May 17 1975
Chel Erwin-Davis,6.0,170 ,,,
Cheyden Leialoha,5.8,135 ,73,Orthodox,Mar 15 1994
Chibwikem Onyenegecha-Palmer,6.3,185 ,76,Orthodox,Apr 18 1994
Chico Camus,5.6,125 ,66,Orthodox,Jan 26 1985
Chidi Njokuani,6.3,170 ,,,Dec 31 1988
Chris Amarante,,185 ,,,
Chris Avila,5.10,145 ,72,Orthodox,Jan 16 1993
Chris Barnhizer,,,,,
Chris Beal,5.7,125 ,69,Orthodox,Aug 06 1985
Chris Birchler,6.3,205 ,79,Switch,Jun 05 1987
Chris Bostick,,,,,
Chris Brennan,5.8,170 ,,Orthodox,Oct 12 1971
Chris Brown,,170 ,,,
Chris Camozzi,6.2,185 ,76,Orthodox,Nov 20 1986
Chris Cariaso,5.3,125 ,63,Southpaw,May 27 1981
Chris Clements,5.10,170 ,70,Orthodox,Feb 09 1976
Chris Coggins,,,,,
Chris Condo,6.0,335 ,,Orthodox,
Chris Cope,6.0,170 ,72,Orthodox,Mar 05 1983
Chris Culley,,145 ,,,Mar 25 1986
Chris Curtis,5.10,170 ,,Orthodox,Jul 15 1987
Chris Dempsey,5.10,185 ,72,Orthodox,Sep 08 1987
Chris Drumm,5.8,145 ,,,
Chris Fishgold,5.8,145 ,68,Orthodox,Jun 06 1992
Chris Gruetzemacher,5.8,155 ,68,Orthodox,Jun 16 1986
Chris Guillen,6.0,240 ,,Orthodox,Dec 09 1972
Chris Gutierrez,5.9,135 ,69,Orthodox,Apr 22 1991
Chris Haseman,5.11,205 ,,Orthodox,Jun 02 1969
Chris Hawk,6.1,205 ,,,
Chris Heatherly,5.9,155 ,68,Orthodox,Nov 24 1987
Chris Herrera,5.10,185 ,,,
Chris Holdsworth,5.11,135 ,71,,Oct 24 1987
Chris Honeycutt,5.10,170 ,,,Jul 25 1988
Chris Horodecki,5.9,155 ,69,Orthodox,Sep 24 1987
Chris Indich,5.10,170 ,73,,Apr 22 1987
Chris Inman,,,,,
Chris Jones,5.9,149 ,,,Nov 16 1981
Chris Kelades,5.7,125 ,68,Orthodox,Feb 21 1981
Chris Leben,5.11,185 ,74,Southpaw,Jul 21 1980
Chris Liguori,5.9,185 ,,Orthodox,
Chris Lytle,5.11,170 ,68,Orthodox,Aug 18 1974
Chris Manuel,5.9,135 ,,Orthodox,Jul 21 1987
Chris Mickle,5.9,145 ,,Orthodox,Jul 10 1983
Chris Mierzwiak,6.1,185 ,,,Feb 14 1988
Chris Price,6.2,185 ,,Southpaw,Nov 09 1982
Chris Sanford,5.11,185 ,,Orthodox,Mar 12 1968
Chris Saunders,5.8,155 ,,,Mar 11 1986
Chris Solomon,5.11,155 ,,,
Chris Spang,6.2,170 ,,Orthodox,Nov 26 1987
Chris Tickle,5.9,155 ,,,Feb 01 1982
Chris Tuchscherer,6.2,258 ,76,Orthodox,Sep 08 1975
Chris Wade,5.10,155 ,70,Orthodox,Sep 30 1987
Chris Weidman,6.2,185 ,78,Orthodox,Jun 17 1984
Chris Wilson,6.1,170 ,75,Orthodox,Jun 07 1977
Chris Wright,,,,,
Chris Yee,5.9,185 ,,,
Chris de la Rocha,6.3,250 ,80,Orthodox,May 15 1979
Christian Colombo,6.5,265 ,80,Orthodox,Jul 01 1980
Christian Lohsen,6.2,155 ,,,Jan 24 1995
Christian Morecraft,6.6,260 ,81,Orthodox,Sep 08 1986
Christian Ocon,5.8,135 ,69,Orthodox,Feb 05 1996
Christian Uflacker,5.11,170 ,,,Aug 04 1985
Christian Wellisch,6.2,234 ,77,Orthodox,Sep 13 1975
Christina Marks,5.7,125 ,69,Orthodox,Nov 08 1985
Christophe Leninger,6.0,200 ,,Southpaw,
Christopher Lopez,5.10,170 ,,,Jan 30 1986
Christos Giagos,5.10,155 ,71,Orthodox,Jan 23 1990
Chuck Grigsby,6.6,205 ,,Orthodox,
Chuck Liddell,6.2,205 ,76,Orthodox,Dec 17 1969
Chuck O.Neil,6.2,170 ,,,Sep 22 1985
Cindy Dandois,5.7,135 ,68,Orthodox,Oct 26 1984
Ciryl Gane,6.5,265 ,,,May 06 1990
Claude Patrick,5.11,170 ,75,Orthodox,Jun 14 1980
Claudia Gadelha,5.4,115 ,63,Orthodox,Dec 07 1988
Claudio Mattos,,185 ,,Orthodox,
Claudio Puelles,5.11,155 ,72,Southpaw,Apr 21 1996
Claudio Silva,5.11,170 ,71,Southpaw,Sep 06 1982
Claudionor Fontinelle,5.5,185 ,,Orthodox,
Clay Collard,5.11,145 ,73,Orthodox,Mar 10 1993
Clay French,5.7,161 ,,Southpaw,Oct 07 1980
Clay Guida,5.7,155 ,70,Orthodox,Dec 08 1981
Clay Harvison,6.1,170 ,74,,Sep 25 1980
Clay Mitchell,6.2,185 ,,,
Clayton MacFarlane,,170 ,,,
Cleber Luciano,5.6,155 ,,,
Clifford Starks,6.0,185 ,77,Orthodox,Apr 25 1981
Clint Coronel,,155 ,,,
Clint Godfrey,5.6,135 ,,Southpaw,Oct 21 1982
Clint Hester,6.2,205 ,77,Orthodox,Nov 21 1986
Codale Ford,5.9,170 ,,,May 13 1979
Cody Canterbury,5.8,155 ,,,
Cody Carrillo,5.10,155 ,,,
Cody Donovan,6.3,205 ,74,Orthodox,Feb 20 1981
Cody East,6.3,245 ,74,Orthodox,Jun 29 1988
Cody Floyd,,,,,Jul 18 1988
Cody Garbrandt,5.8,135 ,65,Orthodox,Jul 07 1991
Cody Gibson,5.10,135 ,71,Orthodox,Sep 11 1987
Cody McKenzie,6.0,155 ,72,Switch,Dec 16 1987
Cody Pfister,5.10,155 ,73,Orthodox,Jul 12 1990
Cody Sons,5.9,205 ,,,
Cody Stamann,5.6,135 ,64,Orthodox,Nov 09 1989
Colby Covington,5.11,170 ,72,Orthodox,Feb 22 1988
Cole Escovedo,5.7,135 ,72,Orthodox,Aug 30 1981
Cole Miller,6.1,145 ,74,Orthodox,Apr 26 1984
Cole Province,5.9,145 ,68,Orthodox,Jan 17 1981
Cole Smith,5.11,135 ,67,Orthodox,Apr 05 1989
Colin Fletcher,6.2,155 ,78,Orthodox,Jan 08 1983
Colin Robinson,6.4,243 ,,Orthodox,Nov 27 1968
Colleen Schneider,,135 ,,,
Colley  Bradford,5.7,145 ,,,
Collin Hart,6.1,185 ,76,Orthodox,Oct 12 1989
Coltin Cole,,185 ,,,Apr 24 1989
Colton Smith,6.0,155 ,71,Orthodox,Aug 14 1987
Conor Heun,5.10,155 ,,Orthodox,Feb 11 1979
Conor McGregor,5.9,155 ,74,Southpaw,Jul 14 1988
Corey Anderson,6.3,205 ,79,Orthodox,Sep 22 1989
Corey Hill,6.4,155 ,80,Orthodox,Oct 03 1978
Cortez Coleman,6.1,185 ,,,Jan 28 1982
Cortney Casey,5.7,115 ,67,Orthodox,May 05 1987
Cory Devela,5.0,185 ,,Orthodox,
Cory Hendricks,6.3,205 ,,,May 10 1988
Cory Peterson,6.11,400 ,,Orthodox,
Cory Sandhagen,5.11,135 ,70,Switch,Apr 20 1992
Cory Walmsley,6.0,205 ,,Orthodox,
Costas Philippou,5.11,185 ,73,Orthodox,Nov 29 1979
Coty Wheeler,5.6,135 ,67,Orthodox,Oct 11 1978
Court McGee,5.11,170 ,75,Orthodox,Dec 12 1984
Courtney Buck,5.10,135 ,,Orthodox,Mar 19 1982
Courtney Turner,6.2,170 ,,,
Crafton Wallace,6.0,185 ,,Orthodox,Nov 10 1975
Craig Oxley,5.9,155 ,,,Feb 14 1973
Craig White,6.2,170 ,76,Orthodox,Jul 01 1990
Craig Zellner,6.2,205 ,,Orthodox,Sep 09 1976
Crezio de Souza,,170 ,,Orthodox,
Cris Cyborg,5.8,145 ,68,Orthodox,Jul 09 1985
Cristiano Marcello,5.9,155 ,72,Orthodox,Dec 03 1977
Cristina Stanciu,5.3,115 ,64,Orthodox,Mar 29 1994
Crosley Gracie,5.9,190 ,,Orthodox,Jul 18 1979
Cub Swanson,5.8,145 ,70,Orthodox,Nov 02 1983
Cung Le,5.9,185 ,69,Southpaw,May 25 1972
Curt Warburton,6.0,155 ,73,Orthodox,
Curtis Blaydes,6.4,265 ,80,Orthodox,Feb 18 1991
Curtis Millender,6.2,170 ,76,Orthodox,Dec 01 1987
Curtis Stout,6.1,185 ,,Southpaw,Nov 07 1973
Cynthia Calvillo,5.4,115 ,64,Orthodox,Jul 13 1987
Cyril Asker,6.0,247 ,74,Orthodox,Dec 24 1985
Cyrille Diabate,6.6,205 ,81,Southpaw,Oct 06 1973
Cyrillo Padilha,5.11,155 ,,,Jan 23 1978
Da Un Jung,6.3,205 ,,,Feb 11 1988
DaMarques Johnson,6.1,170 ,75,Orthodox,Jun 28 1982
Dae Won Kim,5.11,180 ,,Orthodox,
Daichi Abe,5.11,170 ,71,Orthodox,Nov 27 1991
Daijiro Matsui,5.9,200 ,,Orthodox,Dec 05 1972
Daiju Takase,6.0,170 ,,Southpaw,Apr 20 1978
Daiki Hata,5.6,139 ,,Orthodox,Aug 24 1982
Daisuke Nakamura,5.7,154 ,,Orthodox,Jun 10 1980
Daisuke Sugie,5.6,160 ,,Orthodox,
Dakota Cochrane,5.8,155 ,,,May 01 1986
Dalcha Lungiambula,5.10,205 ,,,
Dale Hartt,5.10,155 ,69,Orthodox,Apr 04 1979
Damacio Page,5.6,135 ,66,Orthodox,Sep 30 1982
Damian Grabowski,6.1,241 ,75,Orthodox,May 12 1980
Damian Stasiak,5.5,135 ,70,Orthodox,Feb 20 1990
Damien Brown,5.10,155 ,68,Orthodox,Dec 25 1984
Damien Trites,5.11,165 ,,,Aug 23 1979
Damion Douglas,,170 ,,,
Damir Hadzovic,5.9,155 ,70,Orthodox,Aug 08 1986
Damir Ismagulov,5.10,155 ,,Orthodox,Feb 03 1991
Damir Mirenic,6.0,185 ,,Orthodox,Aug 02 1974
Damon Jackson,5.11,145 ,71,Switch,Aug 08 1988
Dan Barrera,5.9,170 ,,Orthodox,Dec 23 1980
Dan Bobish,6.2,345 ,,Southpaw,Jan 26 1970
Dan Charles,6.2,228 ,,,Sep 24 1985
Dan Christison,6.8,265 ,,Orthodox,Apr 26 1972
Dan Cramer,6.2,170 ,,Orthodox,Oct 31 1985
Dan Evensen,6.3,250 ,,Orthodox,Jun 01 1974
Dan Hardy,6.0,170 ,74,Orthodox,May 17 1982
Dan Henderson,5.11,185 ,74,Orthodox,Aug 24 1970
Dan Hooker,6.0,155 ,75,Switch,Feb 13 1990
Dan Ige,5.7,145 ,71,Orthodox,Aug 06 1991
Dan Lauzon,5.10,155 ,,Orthodox,Mar 30 1988
Dan Miller,6.1,185 ,74,Orthodox,Jun 30 1981
Dan Moret,6.0,155 ,73,Southpaw,Nov 21 1986
Dan O.Connor,5.4,115 ,,,Nov 17 1982
Dan Severn,6.2,250 ,,Southpaw,Jun 08 1958
Dan Stittgen,6.1,170 ,,Orthodox,Nov 17 1980
Daniel Acacio,5.8,180 ,,Orthodox,Dec 27 1977
Daniel Cormier,5.11,235 ,72,Orthodox,Mar 20 1979
Daniel Gallemore,6.5,265 ,,,
Daniel Gracie,6.2,225 ,,Orthodox,
Daniel Jolly,6.1,205 ,75,Orthodox,Sep 03 1984
Daniel Kelly,6.0,185 ,70,Southpaw,Oct 31 1977
Daniel McWilliams,6.1,185 ,,,
Daniel Omielanczuk,6.0,247 ,74,Southpaw,Aug 31 1982
Daniel Pineda,5.7,145 ,69,Orthodox,Aug 06 1985
Daniel Puder,6.3,235 ,,Orthodox,Oct 09 1981
Daniel Roberts,5.10,170 ,74,Southpaw,Aug 05 1980
Daniel Rodriguez,6.0,155 ,,,Dec 31 1986
Daniel Sarafian,5.9,185 ,73,Orthodox,Aug 21 1982
Daniel Schmitt,,185 ,,,
Daniel Spitz,6.7,245 ,82,Orthodox,Jul 31 1990
Daniel Spohn,6.4,205 ,79,Southpaw,Oct 12 1984
Daniel Straus,5.7,145 ,,,Jul 27 1984
Daniel Teymur,5.5,145 ,69,Orthodox,Feb 03 1988
Daniel Weichel,5.10,145 ,,,Nov 22 1984
Danielle Taylor,5.0,115 ,60,Orthodox,Oct 25 1989
Danillo Villefort,6.1,185 ,,Orthodox,May 08 1983
Danilo Belluardo,6.0,155 ,74,Southpaw,Jul 21 1994
Danny Abbadi,5.11,155 ,,Orthodox,Jul 03 1983
Danny Castillo,5.9,155 ,71,Orthodox,Aug 25 1979
Danny Davis,6.2,170 ,,,Jul 28 1982
Danny Downes,6.0,155 ,72,Orthodox,Apr 08 1986
Danny Henry,6.0,145 ,73,Orthodox,Jul 17 1988
Danny Martinez,5.6,125 ,67,Orthodox,Jun 14 1985
Danny Mitchell,6.2,170 ,74,Orthodox,Aug 08 1986
Danny Navarro,5.10,155 ,,,May 27 1983
Danny Roberts,6.1,170 ,74,Southpaw,Jul 14 1987
Dante Rivera,6.1,185 ,,Southpaw,Dec 08 1974
Darko Stosic,6.0,205 ,76,Orthodox,Feb 09 1992
Daron Cruickshank,5.8,155 ,72,Switch,Jun 11 1985
Darrel Gholar,5.8,194 ,,Orthodox,
Darrell Horcher,5.10,155 ,70,Southpaw,Jul 28 1987
Darrell Montague,5.6,125 ,67,Southpaw,Nov 03 1987
Darren Elkins,5.10,145 ,71,Orthodox,May 16 1984
Darren Stewart,6.0,185 ,74,Orthodox,Dec 30 1990
Darren Till,6.0,170 ,74,Southpaw,Dec 24 1992
Darren Uyenoyama,5.6,125 ,64,Orthodox,Oct 15 1979
Darrill Schoonover,6.2,220 ,,Orthodox,Jul 18 1985
Darrion Caldwell,5.10,135 ,,,Dec 19 1987
Darryl Cobb,5.9,185 ,,,Aug 04 1980
Dashawn Boatwright,6.0,205 ,,Orthodox,Feb 29 1988
Dashon Johnson,5.7,145 ,70,Orthodox,Jan 25 1988
Dave Beneteau,6.2,250 ,,Orthodox,
Dave Berry,,,,,
Dave Cochran,5.6,155 ,,,May 10 1973
Dave Courchaine,5.8,170 ,,,
Dave Dalgliesh,6.2,205 ,,Orthodox,Apr 05 1978
Dave Galera,5.11,135 ,,Orthodox,Jan 12 1978
Dave Herman,6.4,242 ,76,Orthodox,Oct 03 1984
Dave Jansen,5.9,155 ,73,Orthodox,Aug 21 1979
Dave Martin,6.0,205 ,,,
Dave Menne,5.10,170 ,,Orthodox,Jul 29 1974
Dave Phillips,6.0,185 ,,Orthodox,Jan 12 1980
Dave Rickels,5.11,155 ,,,Jan 05 1989
Dave Strasser,5.10,170 ,,Orthodox,Jul 13 1969
Dave Terrel,5.8,170 ,,Southpaw,May 10 1978
Dave Zitanick,,170 ,,,Mar 05 1980
Davey Grant,5.8,135 ,69,,Dec 18 1985
Davi Ramos,5.6,155 ,70,Orthodox,Nov 05 1986
David Abbott,6.0,265 ,,Switch,
David Avellan,5.9,185 ,,Orthodox,
David Baron,5.6,155 ,,Switch,Feb 15 1973
David Barrios,5.6,145 ,,,
David Bielkheden,5.10,155 ,71,Orthodox,Jun 06 1979
David Blanco,5.7,145 ,,,
David Branch,6.1,185 ,78,Orthodox,Sep 26 1981
David Dodd,6.2,200 ,,Orthodox,Sep 22 1973
David Douglas,5.11,155 ,,,Aug 16 1981
David Gardner,5.11,155 ,,Orthodox,May 17 1977
David Gomez,,155 ,,,Aug 08 1983
David Heath,5.11,205 ,72,Orthodox,Feb 10 1976
David Hood,6.0,200 ,,,
David Hulett,5.10,170 ,,,Sep 07 1980
David Kaplan,5.7,155 ,,Orthodox,Nov 16 1979
David Lee,5.10,155 ,,Orthodox,
David Levicki,6.5,275 ,,,
David Loiseau,6.0,185 ,76,Orthodox,Dec 17 1979
David Marshall,6.2,170 ,,,Aug 24 1984
David Michaud,5.9,155 ,72,Orthodox,Nov 10 1988
David Mitchell,6.0,170 ,76,Orthodox,Oct 24 1979
David Rasouli,5.7,155 ,,,
David Roberts,6.1,170 ,,Orthodox,Nov 15 1975
David Smith,,155 ,,,
David Terrell,6.1,185 ,,Southpaw,Jan 09 1978
David Teymur,5.9,155 ,73,Southpaw,May 01 1989
David Velasquez,5.5,145 ,,Orthodox,
David Zawada,6.0,170 ,75,Orthodox,Aug 01 1990
Dayana Silva,5.7,135 ,,Orthodox,Aug 27 1990
DeAnna Bennett,5.4,125 ,68,,Nov 18 1984
DeMarco Villalona,5.9,185 ,,,
Dean Hancock,,155 ,,,
Dean Lister,6.1,185 ,75,Orthodox,Feb 13 1976
Deiveson Figueiredo,5.5,125 ,68,Orthodox,Dec 18 1987
Deividas Taurosevicius,5.9,145 ,68,Southpaw,Aug 28 1977
Del Hawkins,5.5,135 ,,Orthodox,
Delson Heleno,5.11,185 ,,Orthodox,Nov 16 1977
Demetrious Johnson,5.3,125 ,66,Orthodox,Aug 13 1986
Demetrius Gioulacos,5.11,185 ,,,
Demian Maia,6.1,170 ,72,Southpaw,Nov 06 1977
Denis Kang,5.11,185 ,77,Orthodox,Sep 17 1977
Denis Sobolev,6.3,216 ,,Orthodox,
Denis Stojnic,6.0,245 ,,Orthodox,Feb 02 1980
Dennis Bermudez,5.6,155 ,66,Orthodox,Dec 13 1986
Dennis Bryant,6.0,205 ,72,Orthodox,Oct 18 1985
Dennis Dombrow,,145 ,,,Mar 17 1986
Dennis Hallman,5.9,155 ,72,Orthodox,Dec 02 1975
Dennis Olson,6.0,170 ,,,
Dennis Reed,,205 ,,Orthodox,
Dennis Siver,5.6,145 ,70,Orthodox,Jan 13 1979
Derek Anderson,6.0,155 ,,,Feb 02 1990
Derek Bohi,6.4,260 ,,,
Derek Brunson,6.1,185 ,77,Southpaw,Jan 04 1984
Derek Campos,5.9,155 ,,,Apr 01 1988
Derek Downey,6.1,185 ,,Orthodox,Apr 27 1980
Derek Getzel,6.0,155 ,,,
Deron Winn,5.6,185 ,70,Orthodox,Jun 13 1989
Derrick Burnsed,,155 ,,,
Derrick Krantz,5.10,170 ,72,Orthodox,Jan 13 1988
Derrick Lewis,6.3,260 ,79,Orthodox,Feb 07 1985
Derrick Mehmen,6.4,205 ,,,May 30 1985
Derrick Noble,5.9,170 ,,Southpaw,Aug 14 1978
Deshaun Johnson,,167 ,,,
Desmond Green,5.10,155 ,73,Southpaw,Oct 11 1989
Devin Clark,6.0,205 ,75,Orthodox,Apr 12 1990
Devin Cole,6.4,240 ,,Orthodox,Oct 01 1976
Devin Johnson,,,,,
Devin Powell,6.0,155 ,73,Orthodox,Mar 01 1988
Devonte Smith,5.9,155 ,76,Orthodox,Jul 30 1993
Dewey Cooper,,205 ,,,
Dhafir Harris,,257 ,,,Aug 04 1977
Dhiego Lima,6.2,170 ,74,Orthodox,Jan 31 1989
Diana Belbita,5.7,135 ,,,
Diego Brandao,5.7,145 ,68,Orthodox,May 27 1987
Diego Ferreira,5.9,155 ,74,Orthodox,Jan 18 1985
Diego Henrique da Silva,6.2,185 ,,Orthodox,Aug 22 1986
Diego Nunes,5.6,145 ,67,Orthodox,Nov 30 1982
Diego Rivas,5.8,145 ,69,Orthodox,Nov 11 1991
Diego Sanchez,5.10,170 ,72,Southpaw,Dec 31 1981
Diego Saraiva,5.6,155 ,,Orthodox,Apr 23 1982
Dieusel Berto,5.9,200 ,,,
Dileno Lopes,5.5,135 ,65,,Sep 26 1984
Dillon Smith,6.0,170 ,,,
Dimitiri Wanderley,,205 ,,Orthodox,
Din Thomas,5.9,155 ,,Orthodox,Sep 28 1976
Dino Pezao,,205 ,,Orthodox,
Dion Staring,6.1,235 ,,Orthodox,Jun 09 1978
Dmitri Stepanov,6.3,217 ,,Orthodox,
Dmitrii Smoliakov,6.2,253 ,74,Switch,Aug 05 1982
Dmitry Poberezhets,6.3,237 ,,,Jun 11 1985
Dmitry Sosnovskiy,6.3,240 ,77,Orthodox,Jul 06 1989
Dokonjonosuke Mishima,5.7,155 ,,Southpaw,Apr 19 1972
Dom Pilarte,6.0,135 ,74,Southpaw,Jan 05 1990
Dominic Brown,5.11,190 ,,,Jun 04 1982
Dominic Clark,5.10,155 ,,,Aug 01 1985
Dominic Waters,6.1,170 ,79,Orthodox,Apr 11 1989
Dominick Cruz,5.8,135 ,68,Orthodox,Mar 09 1985
Dominick Reyes,6.4,205 ,77,Southpaw,Dec 26 1989
Dominique Steele,5.10,170 ,74,Orthodox,Jan 27 1988
Don Carlo-Clauss,,170 ,,,
Don Frye,6.1,219 ,,Orthodox,Nov 23 1965
Don Madge,6.0,155 ,72,Southpaw,Nov 12 1990
Don.Tale Mayes,6.6,260 ,82,Orthodox,Jan 16 1992
Donald Cerrone,6.1,155 ,73,Orthodox,Mar 29 1983
Donald Sanchez,5.10,145 ,,,Aug 18 1984
Donavon Frelow,5.7,135 ,,Orthodox,Jan 20 1985
Dong Hyun Kim,6.2,170 ,76,Southpaw,Nov 17 1981
Dong Hyun Ma,5.11,155 ,70,Orthodox,Sep 09 1988
Dong Sik Yoon,6.0,185 ,,Orthodox,Aug 24 1972
Dongi Yang,5.10,185 ,71,Southpaw,Dec 07 1984
Donnie Chappell,5.11,178 ,,Southpaw,
Donnie Liles,5.9,170 ,,Orthodox,
Donny Walker,5.9,135 ,,,Jan 04 1980
Dooho Choi,5.10,145 ,70,Orthodox,Apr 10 1991
Dorian Price,6.3,170 ,,Southpaw,Aug 20 1977
Dos Caras Jr.,6.4,225 ,,Orthodox,May 25 1977
Doug Evans,5.9,155 ,,Orthodox,Oct 10 1980
Doug Kay,,,,,
Doug Marshall,5.10,205 ,,Orthodox,Sep 09 1975
Douglas Lima,6.1,170 ,,,Jan 05 1988
Douglas Silva de Andrade,5.7,135 ,68,Orthodox,Jun 22 1985
Drakkar Klose,5.9,155 ,70,Orthodox,Mar 09 1988
Drew Brokenshire,,,,,
Drew Dimanlig,,185 ,,,
Drew Dober,5.8,155 ,70,Southpaw,Oct 19 1988
Drew Fickett,5.10,155 ,70,Orthodox,Dec 14 1979
Drew McFedries,6.0,185 ,72,Southpaw,Jul 27 1978
Drew Pendleton,,145 ,,,Dec 08 1983
Duane Ludwig,5.10,170 ,70,Orthodox,Aug 04 1978
Duda Santana,5.7,145 ,73,Orthodox,Jan 10 1996
Dustin Hazelett,6.1,170 ,76,Orthodox,Apr 29 1986
Dustin Jacoby,6.4,185 ,78,Orthodox,Apr 04 1988
Dustin Kimura,5.7,135 ,71,Orthodox,May 21 1989
Dustin Moore,5.4,125 ,,,
Dustin Neace,5.9,145 ,,,Sep 12 1986
Dustin Ortiz,5.5,125 ,65,Orthodox,Dec 25 1988
Dustin Pague,5.9,135 ,74,Orthodox,Aug 05 1987
Dustin Poirier,5.9,155 ,72,Southpaw,Jan 19 1989
Dustin West,5.11,170 ,,,
Dwayne Cason,5.10,212 ,,Orthodox,
Dwight Grant,6.1,170 ,76,Switch,Sep 14 1984
Dylan Andrews,6.1,185 ,73,Switch,Nov 15 1979
Ebenezer Fontes Braga,6.0,199 ,,Orthodox,Apr 14 1969
Ed Herman,6.1,205 ,77,Orthodox,Oct 02 1980
Ed Ratcliff,5.10,155 ,71,Orthodox,Mar 05 1983
Eddie Alvarez,5.9,155 ,69,Orthodox,Jan 11 1984
Eddie Gordon,6.0,185 ,76,Orthodox,Jul 22 1983
Eddie Mendez,5.10,185 ,76,,Jan 16 1984
