"year","state","month","number","date"
2012,"Espirito Santo","Junio",15,2012-01-01
2013,"Espirito Santo","Junio",22,2013-01-01
2014,"Espirito Santo","Junio",9,2014-01-01
2015,"Espirito Santo","Junio",18,2015-01-01
2016,"Espirito Santo","Junio",49,2016-01-01
2017,"Espirito Santo","Junio",37,2017-01-01
1998,"Espirito Santo","Julio",37,1998-01-01
1999,"Espirito Santo","Julio",9,1999-01-01
2000,"Espirito Santo","Julio",16,2000-01-01
2001,"Espirito Santo","Julio",12,2001-01-01
2002,"Espirito Santo","Julio",9,2002-01-01
2003,"Espirito Santo","Julio",27,2003-01-01
2004,"Espirito Santo","Julio",4,2004-01-01
2005,"Espirito Santo","Julio",9,2005-01-01
2006,"Espirito Santo","Julio",11,2006-01-01
2007,"Espirito Santo","Julio",13,2007-01-01
2008,"Espirito Santo","Julio",5,2008-01-01
2009,"Espirito Santo","Julio",25,2009-01-01
2010,"Espirito Santo","Julio",5,2010-01-01
2011,"Espirito Santo","Julio",18,2011-01-01
2012,"Espirito Santo","Julio",35,2012-01-01
2013,"Espirito Santo","Julio",20,2013-01-01
2014,"Espirito Santo","Julio",17,2014-01-01
2015,"Espirito Santo","Julio",30,2015-01-01
2016,"Espirito Santo","Julio",42,2016-01-01
2017,"Espirito Santo","Julio",3,2017-01-01
1998,"Espirito Santo","Agosto",38,1998-01-01
1999,"Espirito Santo","Agosto",60,1999-01-01
2000,"Espirito Santo","Agosto",26,2000-01-01
2001,"Espirito Santo","Agosto",30,2001-01-01
2002,"Espirito Santo","Agosto",60,2002-01-01
2003,"Espirito Santo","Agosto",118,2003-01-01
2004,"Espirito Santo","Agosto",12,2004-01-01
2005,"Espirito Santo","Agosto",12,2005-01-01
2006,"Espirito Santo","Agosto",29,2006-01-01
2007,"Espirito Santo","Agosto",82,2007-01-01
2008,"Espirito Santo","Agosto",13,2008-01-01
2009,"Espirito Santo","Agosto",17,2009-01-01
2010,"Espirito Santo","Agosto",39,2010-01-01
2011,"Espirito Santo","Agosto",93,2011-01-01
2012,"Espirito Santo","Agosto",12,2012-01-01
2013,"Espirito Santo","Agosto",53,2013-01-01
2014,"Espirito Santo","Agosto",47,2014-01-01
2015,"Espirito Santo","Agosto",35,2015-01-01
2016,"Espirito Santo","Agosto",78,2016-01-01
2017,"Espirito Santo","Agosto",30,2017-01-01
1998,"Espirito Santo","Septiembre",108,1998-01-01
1999,"Espirito Santo","Septiembre",64,1999-01-01
2000,"Espirito Santo","Septiembre",14,2000-01-01
2001,"Espirito Santo","Septiembre",38,2001-01-01
2002,"Espirito Santo","Septiembre",46,2002-01-01
2003,"Espirito Santo","Septiembre",252,2003-01-01
2004,"Espirito Santo","Septiembre",47,2004-01-01
2005,"Espirito Santo","Septiembre",8,2005-01-01
2006,"Espirito Santo","Septiembre",87,2006-01-01
2007,"Espirito Santo","Septiembre",63,2007-01-01
2008,"Espirito Santo","Septiembre",78,2008-01-01
2009,"Espirito Santo","Septiembre",57,2009-01-01
2010,"Espirito Santo","Septiembre",53,2010-01-01
2011,"Espirito Santo","Septiembre",108,2011-01-01
2012,"Espirito Santo","Septiembre",48,2012-01-01
2013,"Espirito Santo","Septiembre",30,2013-01-01
2014,"Espirito Santo","Septiembre",61,2014-01-01
2015,"Espirito Santo","Septiembre",228,2015-01-01
2016,"Espirito Santo","Septiembre",128,2016-01-01
2017,"Espirito Santo","Septiembre",58,2017-01-01
1998,"Espirito Santo","Octubre",20,1998-01-01
1999,"Espirito Santo","Octubre",23,1999-01-01
2000,"Espirito Santo","Octubre",88,2000-01-01
2001,"Espirito Santo","Octubre",19,2001-01-01
2002,"Espirito Santo","Octubre",113,2002-01-01
2003,"Espirito Santo","Octubre",159,2003-01-01
2004,"Espirito Santo","Octubre",48,2004-01-01
2005,"Espirito Santo","Octubre",62,2005-01-01
2006,"Espirito Santo","Octubre",10,2006-01-01
2007,"Espirito Santo","Octubre",79,2007-01-01
2008,"Espirito Santo","Octubre",100,2008-01-01
2009,"Espirito Santo","Octubre",13,2009-01-01
2010,"Espirito Santo","Octubre",32,2010-01-01
2011,"Espirito Santo","Octubre",38,2011-01-01
2012,"Espirito Santo","Octubre",62,2012-01-01
2013,"Espirito Santo","Octubre",37,2013-01-01
2014,"Espirito Santo","Octubre",89,2014-01-01
2015,"Espirito Santo","Octubre",307,2015-01-01
2016,"Espirito Santo","Octubre",58,2016-01-01
2017,"Espirito Santo","Octubre",56,2017-01-01
1998,"Espirito Santo","Noviembre",4,1998-01-01
1999,"Espirito Santo","Noviembre",9,1999-01-01
2000,"Espirito Santo","Noviembre",3,2000-01-01
2001,"Espirito Santo","Noviembre",3,2001-01-01
2002,"Espirito Santo","Noviembre",22,2002-01-01
2003,"Espirito Santo","Noviembre",49,2003-01-01
2004,"Espirito Santo","Noviembre",42,2004-01-01
2005,"Espirito Santo","Noviembre",0,2005-01-01
2006,"Espirito Santo","Noviembre",0,2006-01-01
2007,"Espirito Santo","Noviembre",112,2007-01-01
2008,"Espirito Santo","Noviembre",3,2008-01-01
2009,"Espirito Santo","Noviembre",18,2009-01-01
2010,"Espirito Santo","Noviembre",3,2010-01-01
2011,"Espirito Santo","Noviembre",6,2011-01-01
2012,"Espirito Santo","Noviembre",7,2012-01-01
2013,"Espirito Santo","Noviembre",11,2013-01-01
2014,"Espirito Santo","Noviembre",20,2014-01-01
2015,"Espirito Santo","Noviembre",141,2015-01-01
2016,"Espirito Santo","Noviembre",8,2016-01-01
2017,"Espirito Santo","Noviembre",3,2017-01-01
1998,"Espirito Santo","Diciembre",5,1998-01-01
1999,"Espirito Santo","Diciembre",0,1999-01-01
2000,"Espirito Santo","Diciembre",3,2000-01-01
2001,"Espirito Santo","Diciembre",1,2001-01-01
2002,"Espirito Santo","Diciembre",12,2002-01-01
2003,"Espirito Santo","Diciembre",18,2003-01-01
2004,"Espirito Santo","Diciembre",9,2004-01-01
2005,"Espirito Santo","Diciembre",5,2005-01-01
2006,"Espirito Santo","Diciembre",0,2006-01-01
2007,"Espirito Santo","Diciembre",14,2007-01-01
2008,"Espirito Santo","Diciembre",1,2008-01-01
2009,"Espirito Santo","Diciembre",32,2009-01-01
2010,"Espirito Santo","Diciembre",10,2010-01-01
2011,"Espirito Santo","Diciembre",1,2011-01-01
2012,"Espirito Santo","Diciembre",18,2012-01-01
2013,"Espirito Santo","Diciembre",9,2013-01-01
2014,"Espirito Santo","Diciembre",28,2014-01-01
2015,"Espirito Santo","Diciembre",61,2015-01-01
2016,"Espirito Santo","Diciembre",12,2016-01-01
1998,"Goias","Enero",0,1998-01-01
1999,"Goias","Enero",14,1999-01-01
2000,"Goias","Enero",10,2000-01-01
2001,"Goias","Enero",29,2001-01-01
2002,"Goias","Enero",12,2002-01-01
2003,"Goias","Enero",14,2003-01-01
2004,"Goias","Enero",10,2004-01-01
2005,"Goias","Enero",27,2005-01-01
2006,"Goias","Enero",85,2006-01-01
2007,"Goias","Enero",28,2007-01-01
2008,"Goias","Enero",23,2008-01-01
2009,"Goias","Enero",30,2009-01-01
2010,"Goias","Enero",59,2010-01-01
2011,"Goias","Enero",39,2011-01-01
2012,"Goias","Enero",21,2012-01-01
2013,"Goias","Enero",33,2013-01-01
2014,"Goias","Enero",80,2014-01-01
2015,"Goias","Enero",118,2015-01-01
2016,"Goias","Enero",52,2016-01-01
2017,"Goias","Enero",53,2017-01-01
1998,"Goias","Febrero",0,1998-01-01
1999,"Goias","Febrero",334,1999-01-01
2000,"Goias","Febrero",11,2000-01-01
2001,"Goias","Febrero",9,2001-01-01
2002,"Goias","Febrero",9,2002-01-01
2003,"Goias","Febrero",47,2003-01-01
2004,"Goias","Febrero",11,2004-01-01
2005,"Goias","Febrero",84,2005-01-01
2006,"Goias","Febrero",21,2006-01-01
2007,"Goias","Febrero",13,2007-01-01
2008,"Goias","Febrero",25,2008-01-01
2009,"Goias","Febrero",29,2009-01-01
2010,"Goias","Febrero",86,2010-01-01
2011,"Goias","Febrero",45,2011-01-01
2012,"Goias","Febrero",37,2012-01-01
2013,"Goias","Febrero",86,2013-01-01
2014,"Goias","Febrero",44,2014-01-01
2015,"Goias","Febrero",53,2015-01-01
2016,"Goias","Febrero",117,2016-01-01
2017,"Goias","Febrero",75,2017-01-01
1998,"Goias","Marzo",0,1998-01-01
1999,"Goias","Marzo",1,1999-01-01
2000,"Goias","Marzo",4,2000-01-01
2001,"Goias","Marzo",10,2001-01-01
2002,"Goias","Marzo",48,2002-01-01
2003,"Goias","Marzo",29,2003-01-01
2004,"Goias","Marzo",36,2004-01-01
2005,"Goias","Marzo",36,2005-01-01
2006,"Goias","Marzo",29,2006-01-01
2007,"Goias","Marzo",49,2007-01-01
2008,"Goias","Marzo",20,2008-01-01
2009,"Goias","Marzo",32,2009-01-01
2010,"Goias","Marzo",65,2010-01-01
2011,"Goias","Marzo",19,2011-01-01
2012,"Goias","Marzo",57,2012-01-01
2013,"Goias","Marzo",79,2013-01-01
2014,"Goias","Marzo",80,2014-01-01
2015,"Goias","Marzo",76,2015-01-01
2016,"Goias","Marzo",136,2016-01-01
2017,"Goias","Marzo",115,2017-01-01
1998,"Goias","Abril",0,1998-01-01
1999,"Goias","Abril",25,1999-01-01
2000,"Goias","Abril",16,2000-01-01
2001,"Goias","Abril",49,2001-01-01
2002,"Goias","Abril",78,2002-01-01
2003,"Goias","Abril",87,2003-01-01
2004,"Goias","Abril",32,2004-01-01
2005,"Goias","Abril",55,2005-01-01
2006,"Goias","Abril",22,2006-01-01
2007,"Goias","Abril",17,2007-01-01
2008,"Goias","Abril",36,2008-01-01
2009,"Goias","Abril",11,2009-01-01
2010,"Goias","Abril",105,2010-01-01
2011,"Goias","Abril",71,2011-01-01
2012,"Goias","Abril",89,2012-01-01
2013,"Goias","Abril",42,2013-01-01
2014,"Goias","Abril",138,2014-01-01
2015,"Goias","Abril",89,2015-01-01
2016,"Goias","Abril",167,2016-01-01
2017,"Goias","Abril",60,2017-01-01
1998,"Goias","Mayo",0,1998-01-01
1999,"Goias","Mayo",99,1999-01-01
2000,"Goias","Mayo",58,2000-01-01
2001,"Goias","Mayo",85,2001-01-01
2002,"Goias","Mayo",171,2002-01-01
2003,"Goias","Mayo",57,2003-01-01
2004,"Goias","Mayo",157,2004-01-01
2005,"Goias","Mayo",164,2005-01-01
2006,"Goias","Mayo",33,2006-01-01
2007,"Goias","Mayo",94,2007-01-01
2008,"Goias","Mayo",41,2008-01-01
2009,"Goias","Mayo",104,2009-01-01
2010,"Goias","Mayo",239,2010-01-01
2011,"Goias","Mayo",136,2011-01-01
2012,"Goias","Mayo",103,2012-01-01
2013,"Goias","Mayo",150,2013-01-01
2014,"Goias","Mayo",210,2014-01-01
2015,"Goias","Mayo",129,2015-01-01
2016,"Goias","Mayo",233,2016-01-01
2017,"Goias","Mayo",135,2017-01-01
1998,"Goias","Junio",172,1998-01-01
1999,"Goias","Junio",250,1999-01-01
2000,"Goias","Junio",222,2000-01-01
2001,"Goias","Junio",212,2001-01-01
2002,"Goias","Junio",302,2002-01-01
2003,"Goias","Junio",321,2003-01-01
2004,"Goias","Junio",422,2004-01-01
2005,"Goias","Junio",189,2005-01-01
2006,"Goias","Junio",70,2006-01-01
2007,"Goias","Junio",186,2007-01-01
2008,"Goias","Junio",55,2008-01-01
2009,"Goias","Junio",179,2009-01-01
2010,"Goias","Junio",278,2010-01-01
2011,"Goias","Junio",314,2011-01-01
2012,"Goias","Junio",245,2012-01-01
2013,"Goias","Junio",192,2013-01-01
2014,"Goias","Junio",318,2014-01-01
2015,"Goias","Junio",277,2015-01-01
2016,"Goias","Junio",289,2016-01-01
2017,"Goias","Junio",442,2017-01-01
1998,"Goias","Julio",512,1998-01-01
1999,"Goias","Julio",311,1999-01-01
2000,"Goias","Julio",332,2000-01-01
2001,"Goias","Julio",371,2001-01-01
2002,"Goias","Julio",686,2002-01-01
2003,"Goias","Julio",322,2003-01-01
2004,"Goias","Julio",778,2004-01-01
2005,"Goias","Julio",363,2005-01-01
2006,"Goias","Julio",169,2006-01-01
2007,"Goias","Julio",399,2007-01-01
2008,"Goias","Julio",193,2008-01-01
2009,"Goias","Julio",470,2009-01-01
2010,"Goias","Julio",941,2010-01-01
2011,"Goias","Julio",607,2011-01-01
2012,"Goias","Julio",564,2012-01-01
2013,"Goias","Julio",350,2013-01-01
2014,"Goias","Julio",446,2014-01-01
2015,"Goias","Julio",347,2015-01-01
2016,"Goias","Julio",837,2016-01-01
2017,"Goias","Julio",577,2017-01-01
1998,"Goias","Agosto",2.218,1998-01-01
1999,"Goias","Agosto",1.198,1999-01-01
2000,"Goias","Agosto",925,2000-01-01
2001,"Goias","Agosto",787,2001-01-01
2002,"Goias","Agosto",1.428,2002-01-01
2003,"Goias","Agosto",902,2003-01-01
2004,"Goias","Agosto",1.498,2004-01-01
2005,"Goias","Agosto",639,2005-01-01
2006,"Goias","Agosto",588,2006-01-01
2007,"Goias","Agosto",2.382,2007-01-01
2008,"Goias","Agosto",568,2008-01-01
2009,"Goias","Agosto",647,2009-01-01
2010,"Goias","Agosto",2.914,2010-01-01
2011,"Goias","Agosto",1.613,2011-01-01
2012,"Goias","Agosto",912,2012-01-01
2013,"Goias","Agosto",488,2013-01-01
2014,"Goias","Agosto",1.255,2014-01-01
2015,"Goias","Agosto",943,2015-01-01
2016,"Goias","Agosto",1.032,2016-01-01
2017,"Goias","Agosto",1.492,2017-01-01
1998,"Goias","Septiembre",2.867,1998-01-01
1999,"Goias","Septiembre",1.898,1999-01-01
2000,"Goias","Septiembre",1.293,2000-01-01
2001,"Goias","Septiembre",1.863,2001-01-01
2002,"Goias","Septiembre",3.52,2002-01-01
2003,"Goias","Septiembre",1.662,2003-01-01
2004,"Goias","Septiembre",2.965,2004-01-01
2005,"Goias","Septiembre",1.341,2005-01-01
2006,"Goias","Septiembre",1.463,2006-01-01
2007,"Goias","Septiembre",3.745,2007-01-01
2008,"Goias","Septiembre",1.255,2008-01-01
2009,"Goias","Septiembre",685,2009-01-01
2010,"Goias","Septiembre",5.075,2010-01-01
2011,"Goias","Septiembre",2.259,2011-01-01
2012,"Goias","Septiembre",2.452,2012-01-01
2013,"Goias","Septiembre",684,2013-01-01
2014,"Goias","Septiembre",1.687,2014-01-01
2015,"Goias","Septiembre",2.296,2015-01-01
2016,"Goias","Septiembre",1.703,2016-01-01
2017,"Goias","Septiembre",3.238,2017-01-01
1998,"Goias","Octubre",1.034,1998-01-01
1999,"Goias","Octubre",743,1999-01-01
2000,"Goias","Octubre",905,2000-01-01
2001,"Goias","Octubre",479,2001-01-01
2002,"Goias","Octubre",1.367,2002-01-01
2003,"Goias","Octubre",1.183,2003-01-01
2004,"Goias","Octubre",1.275,2004-01-01
2005,"Goias","Octubre",1.717,2005-01-01
2006,"Goias","Octubre",178,2006-01-01
2007,"Goias","Octubre",1.195,2007-01-01
2008,"Goias","Octubre",1.231,2008-01-01
2009,"Goias","Octubre",367,2009-01-01
2010,"Goias","Octubre",1.227,2010-01-01
2011,"Goias","Octubre",476,2011-01-01
2012,"Goias","Octubre",1.524,2012-01-01
2013,"Goias","Octubre",606,2013-01-01
2014,"Goias","Octubre",1.947,2014-01-01
2015,"Goias","Octubre",1.807,2015-01-01
2016,"Goias","Octubre",522,2016-01-01
2017,"Goias","Octubre",2.401,2017-01-01
1998,"Goias","Noviembre",47,1998-01-01
1999,"Goias","Noviembre",110,1999-01-01
2000,"Goias","Noviembre",26,2000-01-01
2001,"Goias","Noviembre",15,2001-01-01
2002,"Goias","Noviembre",192,2002-01-01
2003,"Goias","Noviembre",168,2003-01-01
2004,"Goias","Noviembre",291,2004-01-01
2005,"Goias","Noviembre",144,2005-01-01
2006,"Goias","Noviembre",91,2006-01-01
2007,"Goias","Noviembre",79,2007-01-01
2008,"Goias","Noviembre",90,2008-01-01
2009,"Goias","Noviembre",89,2009-01-01
2010,"Goias","Noviembre",67,2010-01-01
2011,"Goias","Noviembre",59,2011-01-01
2012,"Goias","Noviembre",57,2012-01-01
2013,"Goias","Noviembre",183,2013-01-01
2014,"Goias","Noviembre",181,2014-01-01
2015,"Goias","Noviembre",547,2015-01-01
2016,"Goias","Noviembre",123,2016-01-01
2017,"Goias","Noviembre",117,2017-01-01
1998,"Goias","Diciembre",13,1998-01-01
1999,"Goias","Diciembre",20,1999-01-01
2000,"Goias","Diciembre",6,2000-01-01
2001,"Goias","Diciembre",18,2001-01-01
2002,"Goias","Diciembre",115,2002-01-01
2003,"Goias","Diciembre",129,2003-01-01
2004,"Goias","Diciembre",56,2004-01-01
2005,"Goias","Diciembre",5,2005-01-01
2006,"Goias","Diciembre",7,2006-01-01
2007,"Goias","Diciembre",16,2007-01-01
2008,"Goias","Diciembre",6,2008-01-01
2009,"Goias","Diciembre",39,2009-01-01
2010,"Goias","Diciembre",48,2010-01-01
2011,"Goias","Diciembre",39,2011-01-01
2012,"Goias","Diciembre",93,2012-01-01
2013,"Goias","Diciembre",86,2013-01-01
2014,"Goias","Diciembre",68,2014-01-01
2015,"Goias","Diciembre",179,2015-01-01
2016,"Goias","Diciembre",64,2016-01-01
1998,"Maranhao","Enero",0,1998-01-01
1999,"Maranhao","Enero",54,1999-01-01
2000,"Maranhao","Enero",19,2000-01-01
2001,"Maranhao","Enero",29,2001-01-01
2002,"Maranhao","Enero",48,2002-01-01
2003,"Maranhao","Enero",436,2003-01-01
2004,"Maranhao","Enero",241,2004-01-01
2005,"Maranhao","Enero",450,2005-01-01
2006,"Maranhao","Enero",221,2006-01-01
2007,"Maranhao","Enero",428,2007-01-01
2008,"Maranhao","Enero",121,2008-01-01
2009,"Maranhao","Enero",240,2009-01-01
2010,"Maranhao","Enero",319,2010-01-01
2011,"Maranhao","Enero",124,2011-01-01
2012,"Maranhao","Enero",326,2012-01-01
2013,"Maranhao","Enero",209,2013-01-01
2014,"Maranhao","Enero",195,2014-01-01
2015,"Maranhao","Enero",494,2015-01-01
2016,"Maranhao","Enero",412,2016-01-01
2017,"Maranhao","Enero",187,2017-01-01
1998,"Maranhao","Febrero",0,1998-01-01
1999,"Maranhao","Febrero",6,1999-01-01
2000,"Maranhao","Febrero",11,2000-01-01
2001,"Maranhao","Febrero",1,2001-01-01
2002,"Maranhao","Febrero",116,2002-01-01
2003,"Maranhao","Febrero",11,2003-01-01
2004,"Maranhao","Febrero",22,2004-01-01
2005,"Maranhao","Febrero",56,2005-01-01
2006,"Maranhao","Febrero",22,2006-01-01
2007,"Maranhao","Febrero",13,2007-01-01
2008,"Maranhao","Febrero",45,2008-01-01
2009,"Maranhao","Febrero",20,2009-01-01
2010,"Maranhao","Febrero",93,2010-01-01
2011,"Maranhao","Febrero",9,2011-01-01
2012,"Maranhao","Febrero",46,2012-01-01
2013,"Maranhao","Febrero",62,2013-01-01
2014,"Maranhao","Febrero",29,2014-01-01
2015,"Maranhao","Febrero",95,2015-01-01
2016,"Maranhao","Febrero",318,2016-01-01
2017,"Maranhao","Febrero",47,2017-01-01
1998,"Maranhao","Marzo",0,1998-01-01
1999,"Maranhao","Marzo",17,1999-01-01
2000,"Maranhao","Marzo",6,2000-01-01
2001,"Maranhao","Marzo",0,2001-01-01
2002,"Maranhao","Marzo",16,2002-01-01
2003,"Maranhao","Marzo",16,2003-01-01
2004,"Maranhao","Marzo",18,2004-01-01
2005,"Maranhao","Marzo",9,2005-01-01
2006,"Maranhao","Marzo",14,2006-01-01
2007,"Maranhao","Marzo",52,2007-01-01
2008,"Maranhao","Marzo",4,2008-01-01
2009,"Maranhao","Marzo",33,2009-01-01
2010,"Maranhao","Marzo",82,2010-01-01
2011,"Maranhao","Marzo",22,2011-01-01
2012,"Maranhao","Marzo",49,2012-01-01
2013,"Maranhao","Marzo",30,2013-01-01
2014,"Maranhao","Marzo",59,2014-01-01
2015,"Maranhao","Marzo",53,2015-01-01
2016,"Maranhao","Marzo",113,2016-01-01
2017,"Maranhao","Marzo",32,2017-01-01
1998,"Maranhao","Abril",0,1998-01-01
1999,"Maranhao","Abril",4,1999-01-01
2000,"Maranhao","Abril",6,2000-01-01
2001,"Maranhao","Abril",2,2001-01-01
2002,"Maranhao","Abril",28,2002-01-01
2003,"Maranhao","Abril",79,2003-01-01
2004,"Maranhao","Abril",44,2004-01-01
2005,"Maranhao","Abril",43,2005-01-01
2006,"Maranhao","Abril",9,2006-01-01
2007,"Maranhao","Abril",5,2007-01-01
2008,"Maranhao","Abril",26,2008-01-01
2009,"Maranhao","Abril",14,2009-01-01
2010,"Maranhao","Abril",128,2010-01-01
2011,"Maranhao","Abril",37,2011-01-01
2012,"Maranhao","Abril",97,2012-01-01
2013,"Maranhao","Abril",62,2013-01-01
2014,"Maranhao","Abril",78,2014-01-01
2015,"Maranhao","Abril",119,2015-01-01
2016,"Maranhao","Abril",113,2016-01-01
2017,"Maranhao","Abril",91,2017-01-01
1998,"Maranhao","Mayo",0,1998-01-01
1999,"Maranhao","Mayo",3,1999-01-01
2000,"Maranhao","Mayo",28,2000-01-01
2001,"Maranhao","Mayo",21,2001-01-01
2002,"Maranhao","Mayo",71,2002-01-01
2003,"Maranhao","Mayo",60,2003-01-01
2004,"Maranhao","Mayo",145,2004-01-01
2005,"Maranhao","Mayo",74,2005-01-01
2006,"Maranhao","Mayo",5,2006-01-01
2007,"Maranhao","Mayo",73,2007-01-01
2008,"Maranhao","Mayo",26,2008-01-01
2009,"Maranhao","Mayo",19,2009-01-01
2010,"Maranhao","Mayo",273,2010-01-01
2011,"Maranhao","Mayo",73,2011-01-01
2012,"Maranhao","Mayo",286,2012-01-01
2013,"Maranhao","Mayo",100,2013-01-01
2014,"Maranhao","Mayo",148,2014-01-01
2015,"Maranhao","Mayo",194,2015-01-01
2016,"Maranhao","Mayo",206,2016-01-01
2017,"Maranhao","Mayo",142,2017-01-01
1998,"Maranhao","Junio",78,1998-01-01
1999,"Maranhao","Junio",32,1999-01-01
2000,"Maranhao","Junio",94,2000-01-01
2001,"Maranhao","Junio",100,2001-01-01
2002,"Maranhao","Junio",230,2002-01-01
2003,"Maranhao","Junio",338,2003-01-01
2004,"Maranhao","Junio",706,2004-01-01
2005,"Maranhao","Junio",529,2005-01-01
2006,"Maranhao","Junio",131,2006-01-01
2007,"Maranhao","Junio",515,2007-01-01
2008,"Maranhao","Junio",235,2008-01-01
2009,"Maranhao","Junio",279,2009-01-01
2010,"Maranhao","Junio",494,2010-01-01
2011,"Maranhao","Junio",602,2011-01-01
2012,"Maranhao","Junio",915,2012-01-01
2013,"Maranhao","Junio",498,2013-01-01
2014,"Maranhao","Junio",812,2014-01-01
2015,"Maranhao","Junio",887,2015-01-01
2016,"Maranhao","Junio",709,2016-01-01
2017,"Maranhao","Junio",885,2017-01-01
1998,"Maranhao","Julio",274,1998-01-01
1999,"Maranhao","Julio",258,1999-01-01
2000,"Maranhao","Julio",233,2000-01-01
2001,"Maranhao","Julio",549,2001-01-01
2002,"Maranhao","Julio",1.271,2002-01-01
2003,"Maranhao","Julio",1.103,2003-01-01
2004,"Maranhao","Julio",1.366,2004-01-01
2005,"Maranhao","Julio",1.152,2005-01-01
2006,"Maranhao","Julio",512,2006-01-01
2007,"Maranhao","Julio",1.205,2007-01-01
2008,"Maranhao","Julio",502,2008-01-01
2009,"Maranhao","Julio",972,2009-01-01
2010,"Maranhao","Julio",2.323,2010-01-01
2011,"Maranhao","Julio",1.024,2011-01-01
2012,"Maranhao","Julio",3.548,2012-01-01
2013,"Maranhao","Julio",1.111,2013-01-01
2014,"Maranhao","Julio",2.068,2014-01-01
2015,"Maranhao","Julio",1.642,2015-01-01
2016,"Maranhao","Julio",2.096,2016-01-01
2017,"Maranhao","Julio",2.521,2017-01-01
1998,"Maranhao","Agosto",1.176,1998-01-01
1999,"Maranhao","Agosto",895,1999-01-01
2000,"Maranhao","Agosto",839,2000-01-01
2001,"Maranhao","Agosto",2.037,2001-01-01
2002,"Maranhao","Agosto",3.481,2002-01-01
2003,"Maranhao","Agosto",2.023,2003-01-01
2004,"Maranhao","Agosto",1.889,2004-01-01
2005,"Maranhao","Agosto",2.239,2005-01-01
2006,"Maranhao","Agosto",1.382,2006-01-01
2007,"Maranhao","Agosto",8.409,2007-01-01
2008,"Maranhao","Agosto",713,2008-01-01
2009,"Maranhao","Agosto",1.766,2009-01-01
2010,"Maranhao","Agosto",6.353,2010-01-01
2011,"Maranhao","Agosto",2.138,2011-01-01
2012,"Maranhao","Agosto",10.395,2012-01-01
2013,"Maranhao","Agosto",2.098,2013-01-01
2014,"Maranhao","Agosto",5.592,2014-01-01
2015,"Maranhao","Agosto",5.428,2015-01-01
2016,"Maranhao","Agosto",3.723,2016-01-01
2017,"Maranhao","Agosto",3.875,2017-01-01
1998,"Maranhao","Septiembre",3.935,1998-01-01
1999,"Maranhao","Septiembre",1.739,1999-01-01
2000,"Maranhao","Septiembre",1.365,2000-01-01
2001,"Maranhao","Septiembre",4.618,2001-01-01
2002,"Maranhao","Septiembre",3.181,2002-01-01
2003,"Maranhao","Septiembre",5.878,2003-01-01
2004,"Maranhao","Septiembre",4.673,2004-01-01
2005,"Maranhao","Septiembre",6.292,2005-01-01
2006,"Maranhao","Septiembre",2.907,2006-01-01
2007,"Maranhao","Septiembre",8.524,2007-01-01
2008,"Maranhao","Septiembre",2.761,2008-01-01
2009,"Maranhao","Septiembre",2.404,2009-01-01
2010,"Maranhao","Septiembre",9.795,2010-01-01
2011,"Maranhao","Septiembre",4.632,2011-01-01
2012,"Maranhao","Septiembre",7.626,2012-01-01
2013,"Maranhao","Septiembre",3.88,2013-01-01
2014,"Maranhao","Septiembre",4.373,2014-01-01
2015,"Maranhao","Septiembre",6.423,2015-01-01
2016,"Maranhao","Septiembre",3.166,2016-01-01
2017,"Maranhao","Septiembre",14.825,2017-01-01
1998,"Maranhao","Octubre",5.137,1998-01-01
1999,"Maranhao","Octubre",3.208,1999-01-01
2000,"Maranhao","Octubre",2.654,2000-01-01
2001,"Maranhao","Octubre",6.661,2001-01-01
2002,"Maranhao","Octubre",5.182,2002-01-01
2003,"Maranhao","Octubre",6.085,2003-01-01
2004,"Maranhao","Octubre",3.604,2004-01-01
2005,"Maranhao","Octubre",6.472,2005-01-01
2006,"Maranhao","Octubre",3.024,2006-01-01
2007,"Maranhao","Octubre",4.772,2007-01-01
2008,"Maranhao","Octubre",3.498,2008-01-01
2009,"Maranhao","Octubre",1.861,2009-01-01
2010,"Maranhao","Octubre",3.228,2010-01-01
2011,"Maranhao","Octubre",2.404,2011-01-01
2012,"Maranhao","Octubre",5,2012-01-01
2013,"Maranhao","Octubre",2.918,2013-01-01
2014,"Maranhao","Octubre",5.812,2014-01-01
2015,"Maranhao","Octubre",6.746,2015-01-01
2016,"Maranhao","Octubre",5.351,2016-01-01
2017,"Maranhao","Octubre",6.011,2017-01-01
1998,"Maranhao","Noviembre",2.237,1998-01-01
1999,"Maranhao","Noviembre",1.494,1999-01-01
2000,"Maranhao","Noviembre",2.267,2000-01-01
2001,"Maranhao","Noviembre",3.525,2001-01-01
2002,"Maranhao","Noviembre",5.83,2002-01-01
2003,"Maranhao","Noviembre",4.929,2003-01-01
2004,"Maranhao","Noviembre",6.398,2004-01-01
2005,"Maranhao","Noviembre",4.769,2005-01-01
2006,"Maranhao","Noviembre",2.004,2006-01-01
2007,"Maranhao","Noviembre",2.297,2007-01-01
2008,"Maranhao","Noviembre",2.331,2008-01-01
2009,"Maranhao","Noviembre",5,2009-01-01
2010,"Maranhao","Noviembre",4.005,2010-01-01
2011,"Maranhao","Noviembre",2.261,2011-01-01
2012,"Maranhao","Noviembre",2.01,2012-01-01
2013,"Maranhao","Noviembre",2.529,2013-01-01
2014,"Maranhao","Noviembre",3.869,2014-01-01
2015,"Maranhao","Noviembre",4.35,2015-01-01
